          73   1.4617237665048854E-005   7.5197481574917902E-010   3.3306690738754696E-016
          75   1.3837784531345321E-005   6.7391370262015471E-010   2.2204460492503131E-016
          77   1.3119054739663127E-005   6.0572458160379483E-010   4.4408920985006262E-016
          79   1.2454900706782013E-005   5.4594495590976067E-010   2.2204460492503131E-016
          81   1.1839933578228212E-005   4.9336201790595169E-010   1.1102230246251565E-016
          83   1.1269413573544718E-005   4.4695969148023096E-010   4.4408920985006262E-016
          85   1.0739158378236802E-005   4.0588743477343314E-010   4.4408920985006262E-016
          87   1.0245466279146243E-005   3.6942571224329868E-010   1.1102230246251565E-016
          89   9.7850513826047703E-006   3.3696800905147484E-010   6.6613381477509392E-016
          91   9.3549887948407573E-006   3.0799840455841831E-010   4.4408920985006262E-016
          93   8.9526680548956961E-006   2.8207647329026031E-010   2.2204460492503131E-016
          95   8.5757534278307901E-006   2.5882440635172088E-010   0.0000000000000000     
          97   8.2221499255741293E-006   2.3792023906565873E-010   2.2204460492503131E-016
          99   7.8899741325910711E-006   2.1908419522986833E-010   2.2204460492503131E-016
         101   7.5775290738766543E-006   2.0207546747030847E-010   6.6613381477509392E-016
         103   7.2832824988822154E-006   1.8668611101446686E-010   5.5511151231257827E-016
         105   7.0058480611256968E-006   1.7273404928630498E-010   5.5511151231257827E-016
         107   6.7439689537263092E-006   1.6006207470553591E-010   2.2204460492503131E-016
         109   6.4965036581376978E-006   1.4853063223796426E-010   3.3306690738754696E-016
         111   6.2624134764543982E-006   1.3801881859620835E-010   4.4408920985006262E-016
         113   6.0407516172533704E-006   1.2842138463753372E-010   4.4408920985006262E-016
         115   5.8306536073748916E-006   1.1964373936024231E-010   4.4408920985006262E-016
         117   5.6313288488984981E-006   1.1160350421590692E-010   4.4408920985006262E-016
         119   5.4420531723220478E-006   1.0422673835108753E-010   0.0000000000000000     
         121   5.2621622486093145E-006   9.7450159053380503E-011   1.1102230246251565E-016
         123   5.0910457521924357E-006   9.1215368591690549E-011   6.6613381477509392E-016
         125   4.9281421772295886E-006   8.5471074662279989E-011   1.1102230246251565E-016
         127   4.7729342250724116E-006   8.0172202210349042E-011   4.4408920985006262E-016
         129   4.6249446958857021E-006   7.5277784006289039E-011   5.5511151231257827E-016
         131   4.4837328097013796E-006   7.0750627578775038E-011   2.2204460492503131E-016
         133   4.3488909267086484E-006   6.6559424638512610E-011   2.2204460492503131E-016
         135   4.2200415963922211E-006   6.2673199963114712E-011   2.2204460492503131E-016
         137   4.0968349204195675E-006   5.9067639668342053E-011   4.4408920985006262E-016
         139   3.9789461683259475E-006   5.5717097602325794E-011   3.3306690738754696E-016
         141   3.8660736377815752E-006   5.2600479527598054E-011   0.0000000000000000     
         143   3.7579367240248018E-006   4.9699244719647595E-011   4.4408920985006262E-016
         145   3.6542741697065395E-006   4.6995851654685339E-011   3.3306690738754696E-016
